Division Name,Section,Block,Unit,Street Number,Street Name,Street Type,Alternate Street Number,Alternate Street Name,Alternate Street Type,Alternate Division Name,Date added to Register,Date removed from Register
AINSLIE,21,2,,71,Ebden,Street,,,,,29-Jun-15,27-Feb-17
AINSLIE,21,30,,28,Cox,Street,,,,,29-Jun-15,10-Jan-17
AINSLIE,21,7,1,61A,Ebden,Street,,,,,29-Jun-15,10-Jan-17
AINSLIE,34,12,,48,Cowper,Street,,,,,29-Jun-15,10-Jan-17
AINSLIE,63,8,,34,Chisholm,Street,,,,,29-Jun-15,10-Feb-16
AINSLIE,64,10,,37,Canning,Street,,,,,29-Jun-15,16-Dec-16
AINSLIE,66,7,,10,Hoddle,Gardens,,,,,29-Jun-15,23-Aug-17
AINSLIE,77,1,,31,Chisholm,Street,2,Ebden,Street,,29-Jun-15,19-Jan-18
AINSLIE,86,31,,117,Duffy,Street,,,,,29-Jun-15,21-Feb-17
AINSLIE,89,16,,10,Hannan,Crescent,,,,,29-Jun-15,18-Mar-16
AINSLIE,96,4,,35,Hannan,Crescent,,,,,29-Jun-15,10-Jan-17
AINSLIE,96,8,,27,Hannan,Crescent,,,,,29-Jun-15,21-Feb-17
AINSLIE,97,9,,49,Officer,Crescent,,,,,29-Jun-15,17-Feb-17
AINSLIE,99,21,,44,Hannan,Crescent,,,,,29-Jun-15,07-Feb-17
AINSLIE,101,8,,36,Duffy,Street,,,,,29-Jun-15,21-Apr-17
AINSLIE,106,12,,143,Duffy,Street,,,,,29-Jun-15,08-Mar-16
ARANDA,2,7,,13,Arabana,Street,,,,,29-Jun-15,16-Mar-16
ARANDA,4,16,,55,Banambila,Street,,,,,29-Jun-15,15-Nov-16
ARANDA,7,1,,14,Nungara,Street,14,Nungara,Place,,29-Jun-15,29-Nov-16
ARANDA,7,28,1,103,Bandjalong,Crescent,,,,,29-Jun-15,25-Jun-19
ARANDA,12,18,,95,Bandjalong,Crescent,,,,,29-Jun-15,13-Jul-16
ARANDA,12,19,,93,Bandjalong,Crescent,,,,,29-Jun-15,25-Jul-16
ARANDA,14,1,,12,Marulda,Street,,,,,29-Jun-15,23-Sep-16
ARANDA,14,3,,8,Marulda,Street,,,,,29-Jun-15,29-Nov-16
ARANDA,17,21,,3,Amangu,Street,,,,,29-Jun-15,13-Jul-16
ARANDA,31,5,,10,Marawa,Place,,,,,29-Jun-15,26-Oct-18
ARANDA,33,10,,11,Marulda,Street,,,,,29-Jun-15,25-Jul-16
ARANDA,33,8,,15,Marulda,Street,,,,,29-Jun-15,29-Nov-16
ARANDA,35,2,,100,Bandjalong,Crescent,,,,,29-Jun-15,13-Jul-16
ARANDA,36,9,,4,Janari,Place,,,,,29-Jun-15,06-Sep-16
ARANDA,38,6,,130,Bandjalong,Crescent,,,,,29-Jun-15,17-Feb-17
ARANDA,42,4,,30,Wangara,Street,,,,,29-Jun-15,20-Sep-16
ARANDA,44,2,,13,Juwin,Street,,,,,29-Jun-15,
BARTON,26,14,,6,Belmore,Gardens,,,,,29-Jun-15,23-Aug-17
BRADDON,4,49,,27,Burra,Place,,,,,29-Jun-15,17-Sep-18
BRADDON,46,3,1,31,Batman,Street,,,,,29-Jun-15,26-Oct-18
CAMPBELL,8,8,,5,Key,Street,92,Creswell,Street,,29-Jun-15,24-Nov-16
CAMPBELL,17,3,,22,Creswell,Street,,,,,29-Jun-15,24-Nov-16
